Age,Annual Income,Employment Status,Loan Amount,Existing Debts,Credit Utilization Ratio,Number of Credit Accounts,Payment History,Credit History Length,Number of Late Payments,Debt-to-Income Ratio,Loan Purpose,Creditworthy
47,65205,Employed,43693,60161,0.5,13,0.82,15.0,3,0.27,Debt Consolidation,1
40,79546,Employed,24084,80467,0.36,8,0.88,1.9,2,0.19,Business,0
49,41537,Employed,4630,8773,0.54,17,0.99,6.6,0,0.05,Debt Consolidation,1
60,36093,Employed,4869,13160,0.71,9,0.66,39.3,6,0.08,Major Purchase,1
39,28493,Employed,6200,8290,0.55,13,0.92,20.5,1,0.09,Home Improvement,1
39,32444,Employed,11683,28904,0.55,2,0.77,15.8,4,0.19,Debt Consolidation,0
60,200000,Employed,3039,23046,0.45,4,0.88,11.3,2,0.02,Education,1
51,91339,Self-Employed,62356,19973,0.4,2,0.98,9.3,0,0.19,Debt Consolidation,1
36,24945,Employed,7634,26310,0.44,16,0.78,12.0,4,0.2,Debt Consolidation,0
48,25305,Employed,2724,21434,0.71,4,0.76,4.4,4,0.13,Business,1
36,62375,Employed,23054,65522,0.43,2,0.78,17.1,4,0.21,Home Improvement,0
36,64449,Unemployed,38458,10777,0.71,5,0.66,4.8,6,0.16,Home Improvement,0
44,64501,Employed,3455,30881,0.37,19,1.0,26.0,0,0.07,Debt Consolidation,1
19,43153,Unemployed,8092,14662,0.67,2,0.87,1.0,2,0.09,Debt Consolidation,0
21,46040,Employed,27612,534,0.31,9,0.93,2.5,1,0.15,Home Improvement,1
35,57753,Employed,41456,19718,0.37,16,0.93,1.0,1,0.21,Home Improvement,1
29,51171,Employed,32102,23308,0.59,5,0.77,9.9,4,0.21,Auto,0
45,16160,Employed,4061,1788,0.48,10,0.93,8.0,1,0.07,Home Improvement,1
31,43699,Self-Employed,33001,29705,0.43,5,0.88,9.0,2,0.26,Auto,0
25,32025,Unemployed,11586,14725,0.59,1,0.92,5.8,1,0.14,Debt Consolidation,1
59,53509,Employed,29943,2983,0.31,13,0.88,7.6,2,0.14,Debt Consolidation,1
39,200000,Employed,76012,105596,0.09,17,1.0,9.9,0,0.15,Debt Consolidation,1
42,58908,Unemployed,25971,51552,0.94,9,0.75,12.4,4,0.21,Auto,1
24,41908,Employed,4763,41964,0.61,8,0.82,2.6,3,0.15,Auto,0
35,77722,Employed,46209,45284,0.4,12,0.93,8.7,1,0.21,Debt Consolidation,1
43,62401,Employed,25078,72534,0.37,14,0.98,8.6,0,0.24,Debt Consolidation,1
28,60478,Employed,36656,66336,0.81,8,0.71,4.2,5,0.28,Education,0
46,66398,Employed,10914,43930,0.38,5,0.99,19.1,0,0.12,Business,1
34,137073,Employed,54595,66742,0.43,3,0.99,10.5,0,0.15,Auto,0
38,27849,Employed,5006,101,0.27,14,0.94,5.4,1,0.04,Debt Consolidation,1
34,62119,Employed,18470,52998,0.72,9,0.86,14.5,2,0.17,Education,1
64,30847,Employed,7499,20912,0.33,7,0.93,39.8,1,0.14,Auto,1
41,64715,Employed,35072,72807,0.29,8,0.89,12.2,2,0.27,Debt Consolidation,1
29,30966,Self-Employed,12304,22081,0.57,6,0.92,5.3,1,0.18,Home Improvement,1
51,39787,Employed,31235,47402,0.64,14,0.87,13.1,2,0.33,Debt Consolidation,1
27,42296,Employed,23894,43335,0.9,11,0.7,6.7,5,0.26,Debt Consolidation,0
44,79850,Unemployed,18398,91373,0.66,14,0.72,17.8,5,0.19,Major Purchase,1
18,77592,Unemployed,46332,30508,0.9,5,0.8,0.3,3,0.19,Business,0
26,26295,Employed,12997,4712,0.4,8,0.99,5.7,0,0.14,Home Improvement,1
44,50385,Employed,31780,48180,0.58,3,0.87,7.3,2,0.27,Debt Consolidation,0
50,34379,Employed,10318,32433,0.82,18,0.86,1.6,2,0.19,Auto,0
44,26127,Self-Employed,11314,6629,0.65,3,0.92,18.5,1,0.13,Debt Consolidation,0
40,43980,Unemployed,9664,40360,0.99,13,0.75,14.5,4,0.16,Debt Consolidation,0
38,42014,Self-Employed,6120,29340,0.42,12,0.88,8.8,2,0.12,Home Improvement,0
24,164943,Employed,96700,16428,0.26,2,1.0,3.6,0,0.15,Home Improvement,1
33,60869,Employed,31060,36651,0.41,5,0.93,14.3,1,0.19,Debt Consolidation,1
36,24616,Employed,19252,27504,0.53,7,0.99,11.1,0,0.32,Education,1
54,36960,Employed,14985,22462,0.85,11,0.86,24.0,2,0.17,Debt Consolidation,1
46,81690,Employed,37880,77314,0.26,11,0.89,2.7,2,0.22,Business,1
20,139277,Unemployed,84453,4336,0.52,10,0.92,1.2,1,0.15,Major Purchase,0
45,22181,Employed,2462,19379,0.72,15,0.81,8.8,3,0.13,Auto,0
37,19149,Employed,15190,21756,0.62,15,0.87,10.7,2,0.33,Home Improvement,0
33,124926,Employed,25082,74884,0.63,15,0.92,11.9,1,0.12,Debt Consolidation,0
49,59564,Employed,2865,24138,0.3,13,0.94,10.6,1,0.06,Auto,1
54,31756,Employed,5009,24641,0.46,14,0.93,13.5,1,0.13,Major Purchase,1
53,64043,Employed,12322,70415,0.28,17,0.94,9.7,1,0.18,Debt Consolidation,1
31,15000,Self-Employed,10928,3181,0.51,13,0.92,4.1,1,0.2,Home Improvement,0
38,49103,Employed,28762,23786,0.57,10,0.92,19.0,1,0.2,Debt Consolidation,1
45,57751,Unemployed,15538,10831,0.79,1,0.81,17.5,3,0.09,Home Improvement,0
53,77818,Employed,58125,46378,0.34,1,1.0,6.3,0,0.25,Home Improvement,1
36,29526,Employed,8710,19147,0.6,14,0.87,13.3,2,0.15,Major Purchase,1
